id,name,status,created_at
CUS-001,BrightSmile Dental,prospect,2026-04-02
CUS-002,Harbor Pediatric Dentistry,customer,2023-11-14
CUS-003,Oak & Pine Family Dental,prospect,2026-07-21
CUS-004,Lakeside Orthodontics,customer,2024-02-08
CUS-005,Summit Implant Studio,prospect,2026-05-18
CUS-006,Cedar Ridge Dental,customer,2022-09-30
CUS-007,Northstar Endodontics,prospect,2026-06-11
CUS-008,Willow Creek Oral Surgery,customer,2023-05-03
CUS-009,Metro Dental Group,prospect,2026-08-04
CUS-010,Sunshine Smiles,customer,2021-06-22
CUS-011,Pinecrest Periodontics,prospect,2026-03-27
CUS-012,Riverbend Family Dentistry,customer,2024-10-19
