id,customer_id,contact_id,type,occurred_at,notes
INT-001,CUS-001,CON-001,call,2026-04-08,"Intro call. Maya is opening a second operatory in Q3 and wants a full supplies + small-equipment package. Budget is real; she asked for a written proposal."
INT-002,CUS-001,CON-002,email,2026-05-19,"Sent catalog and ballpark pricing. Luis confirmed they are comparing us against their current Patterson-style distributor."
INT-003,CUS-001,CON-001,meeting,2026-07-12,"On-site walkthrough. Presented a $48k annual proposal covering chairside kits; Maya said it looked 'very close' and she would review with her CPA that week."
INT-004,CUS-001,CON-002,email,2026-07-18,"Follow-up: Luis said Maya is still interested but went quiet. No reply to two later check-ins. This deal is stalled right after proposal."
INT-005,CUS-002,CON-003,meeting,2025-09-16,"Quarterly business review. Hannah is happy with pediatric kit quality. No open issues. Asked us not to over-contact."
INT-006,CUS-002,CON-004,email,2025-12-04,"Priya confirmed auto-replenish is working. 'Please keep the cadence; we do not need a sales visit.'"
INT-007,CUS-002,CON-003,note,2026-03-02,"Internal note: Harbor is a stable happy account. Silence here is healthy; last NPS-style comment was 'everything running smoothly.'"
INT-008,CUS-003,CON-005,call,2026-07-22,"Eli just bought the practice from a retiring dentist. Needs to replace aging sterilizer workflow and standardise supplies."
INT-009,CUS-003,CON-006,email,2026-08-14,"Jordan requested a 90-day starter bundle quote and asked about financing. Very engaged."
INT-010,CUS-003,CON-005,meeting,2026-09-03,"Working session on chair-side setup. Eli wants a revised quote by next week and a pilot order of impression materials. Active deal."
INT-011,CUS-004,CON-008,email,2026-07-09,"Chris flagged a duplicate invoice from June. He sounded frustrated; said billing errors are 'getting old.'"
INT-012,CUS-004,CON-007,call,2026-08-02,"Sofia still likes the product mix but asked us to fix billing before they expand the aligner accessory order."
INT-013,CUS-004,CON-008,email,2026-08-22,"Chris sent another reminder: credit memo still not applied. Relationship is strained over admin not clinical fit."
INT-014,CUS-005,CON-009,call,2026-05-20,"Owen took a 12-minute intro call. Curious about implant restorative kits. Asked us to send a one-pager and said he would 'circle back after AAID.'"
INT-015,CUS-005,CON-009,email,2026-06-01,"Sent one-pager. No reply. No second touch scheduled. Early-stage and already going cold."
INT-016,CUS-006,CON-010,meeting,2026-04-11,"Annual review. Lena renewed for another year. Interested in a slow rollout of digital impression accessories."
INT-017,CUS-006,CON-011,call,2026-09-01,"Marcus called to confirm next auto-ship. No issues. Mentioned they referred a colleague at Pinecrest (not yet converted)."
INT-018,CUS-007,CON-012,email,2026-06-18,"Nina requested a demo of surgical irrigation and obturation supplies after a conference chat."
INT-019,CUS-007,CON-012,meeting,2026-08-15,"Demo was on the calendar; Nina cancelled same morning ('emergency retreatment day') and asked to reschedule. We never locked a new date."
INT-020,CUS-008,CON-013,call,2026-06-20,"Andre wants to outfit a third OR. Asked about volume pricing and loaner handpieces during the build-out."
INT-021,CUS-008,CON-014,meeting,2026-08-28,"Kim walked through construction timeline (rooms ready late October). They need a written expansion quote and a staging plan. Warm and time-bound."
INT-022,CUS-009,CON-015,meeting,2026-08-08,"Multi-location group. Rachel wants one vendor across three offices. Competitive RFP."
INT-023,CUS-009,CON-016,email,2026-08-30,"Sent the consolidated proposal ($112k). Tom said partners review it in the first September ops meeting. Waiting; not ghosted yet."
INT-024,CUS-010,CON-017,note,2025-08-12,"Amira sent a handwritten thank-you after we rushed a backorder. Called us 'the only vendor I trust.'"
INT-025,CUS-010,CON-017,email,2026-01-20,"Referred two nearby GPs. Explicitly said she does not need outreach; 'just keep doing what you are doing.'"
INT-026,CUS-011,CON-018,meeting,2026-04-09,"On-site demo of perio surgical kits. Peter was enthusiastic and asked for a sample pack."
INT-027,CUS-011,CON-018,email,2026-05-10,"Samples delivered. Two follow-up emails unanswered. Phone goes to voicemail. Ghosted after a strong demo."
INT-028,CUS-012,CON-020,call,2026-07-18,"Sam said deliveries keep missing the Wednesday restock window and hygienists are running short on prophy paste."
INT-029,CUS-012,CON-019,email,2026-08-25,"Claire is otherwise happy with quality but asked us to 'fix logistics or we will have to look around.' Scheduling/delivery friction; saveable."
